date,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,sunrise,sunset,daylight_duration,sunshine_duration,rain_sum,precipitation_sum,snowfall_sum,precipitation_hours,cloud_cover_mean,cloud_cover_max,cloud_cover_min,dew_point_2m_mean,dew_point_2m_max,dew_point_2m_min,et0_fao_evapotranspiration_sum,relative_humidity_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,snowfall_water_equivalent_sum,pressure_msl_mean,pressure_msl_max,pressure_msl_min,surface_pressure_mean,surface_pressure_max,surface_pressure_min,winddirection_10m_dominant,wind_gusts_10m_mean,wind_speed_10m_mean,wind_gusts_10m_min,wind_speed_10m_min,wet_bulb_temperature_2m_mean,wet_bulb_temperature_2m_max,wet_bulb_temperature_2m_min,vapour_pressure_deficit_max,soil_moisture_0_to_100cm_mean,soil_moisture_0_to_7cm_mean,soil_moisture_28_to_100cm_mean,soil_moisture_7_to_28cm_mean,soil_temperature_0_to_100cm_mean,soil_temperature_0_to_7cm_mean,soil_temperature_7_to_28cm_mean,soil_temperature_28_to_100cm_mean
2010-01-10 14:00:00+00:00,3.0,22.641333,24.8205,20.7705,23.981245,26.308374,22.222872,21.485697,45.719997,70.07672,23.79,4.5625677,1263149759,1263200984,51226.14,46738.816,0.0,0.0,0.0,0.0,42.5,100.0,0.0,17.932999,19.420502,17.0705,4.5625677,75.19027,86.72495,64.88171,0.0,1016.50836,1019.3,1013.4,1010.5415,1013.32965,1007.4633,70.07672,26.054998,11.9642515,14.759999,4.452954,19.394758,20.107391,18.253843,1.0938065,0.10310333,0.085333325,0.09300002,0.14366667,23.464544,25.630919,25.293413,22.720499
2010-01-11 14:00:00+00:00,51.0,25.524672,30.370499,21.170502,28.837305,35.924774,23.73184,18.864824,38.519997,37.02098,29.77,6.0430207,1263236214,1263287376,51163.18,47979.957,0.3,0.3,0.0,1.0,6.4583335,21.0,0.0,21.085083,23.0205,19.5705,6.0430207,77.3872,92.58806,59.754852,0.0,1009.8501,1014.1,1005.9,1003.9786,1008.12805,1000.1075,37.02098,26.999998,11.637687,14.4,6.696387,22.358727,24.467205,19.997948,1.7427771,0.101181656,0.078791685,0.092583336,0.13812499,23.777414,27.643417,25.57675,22.876747
2010-01-12 14:00:00+00:00,53.0,23.460085,25.8205,20.3205,24.777784,28.947865,19.665518,25.671307,54.719997,157.38545,27.87,5.257734,1263322670,1263373767,51097.48,45992.492,0.9,0.9,0.0,2.0,34.291668,100.0,2.0,18.424667,21.0705,15.8205,5.257734,73.67967,90.69538,66.20128,0.0,1011.4041,1017.7,1007.0,1005.4837,1011.6793,1001.138,157.38545,34.29,15.555927,14.759999,3.8268526,19.982841,22.167856,17.292637,1.0780218,0.09934416,0.07441666,0.092,0.13283336,24.0345,26.657997,26.308,23.116331
2010-01-13 14:00:00+00:00,3.0,21.3705,22.7205,19.920502,21.535097,23.054485,19.490849,19.211996,38.519997,165.63329,10.39,2.783151,1263409127,1263460155,51029.176,8371.987,0.0,0.0,0.0,0.0,100.0,100.0,100.0,16.580915,17.2205,15.770499,2.783151,74.26853,80.092476,67.184074,0.0,1017.42914,1018.8,1015.6,1011.43146,1012.7983,1009.5848,165.63329,31.005,14.645859,20.880001,11.090103,18.099104,18.661663,17.081762,0.90644693,0.099157505,0.082375,0.092,0.12929167,23.500519,23.335085,24.487167,23.22883
2010-01-14 14:00:00+00:00,51.0,22.070498,23.420502,21.120499,23.728148,24.893555,22.689213,14.408997,32.039997,138.6237,9.22,2.2094972,1263495584,1263546542,50958.38,9170.603,1.7,1.7,0.0,5.0,86.541664,100.0,39.0,18.207998,18.7705,17.5705,2.2094972,78.847496,85.40032,72.1629,0.0,1017.48334,1019.2,1015.8,1011.4995,1013.2092,1009.8463,138.6237,22.919998,9.260442,8.64,4.6800003,19.359062,19.820162,18.728838,0.802011,0.09935001,0.09024999,0.092,0.12758337,23.268774,23.191332,23.560083,23.191336
2010-01-15 14:00:00+00:00,3.0,22.766335,25.7705,20.4705,24.908632,29.446877,23.204327,14.57889,34.92,51.63253,21.73,4.2510242,1263582042,1263632927,50885.215,40755.668,0.0,0.0,0.0,0.0,87.083336,100.0,32.0,18.530914,19.2705,17.9705,4.2510242,77.66623,90.27128,63.251053,0.0,1010.971,1015.9,1006.4,1005.0389,1009.9052,1000.48224,51.63253,20.175,8.506017,7.2,3.8268526,19.82261,20.6829,19.266216,1.2167492,0.09871834,0.09220833,0.091625,0.12520832,23.370768,24.872587,23.799667,23.099663
2010-01-16 14:00:00+00:00,63.0,22.037169,25.3205,19.0705,23.79627,29.362179,19.383911,18.359999,49.32,166.73466,24.63,4.3661833,1263668501,1263719310,50809.797,47653.52,8.799999,8.799999,0.0,11.0,46.666668,98.0,1.0,18.593416,19.870499,16.120499,4.3661833,81.06739,91.168144,71.16382,0.0,1003.8584,1005.7,1002.3,997.9538,999.7854,996.40265,166.73466,29.054995,12.0158615,10.440001,2.0991426,19.603361,21.401423,17.005293,0.9306288,0.09905585,0.11320833,0.09099999,0.12195835,23.523392,24.766329,24.497583,23.118408
2010-01-17 14:00:00+00:00,3.0,20.180918,23.670502,16.370499,18.33898,20.082354,16.76922,28.079998,54.36,244.89629,31.15,6.454291,1263754960,1263805692,50732.246,47581.656,0.0,0.0,0.0,0.0,22.333334,84.0,0.0,8.166333,15.920501,-0.5295,6.454291,51.748074,92.3159,20.626896,0.0,1004.2459,1007.8,1002.8,998.3016,1001.8064,996.90063,244.89629,32.13,14.643433,9.36,3.8773184,13.655507,16.859962,11.441029,2.2680733,0.100823335,0.14495833,0.09099999,0.11979168,23.1035,22.6205,23.320501,23.087164
2010-01-18 14:00:00+00:00,0.0,20.17675,23.9705,15.9705,19.526289,25.340685,14.406509,11.019764,24.84,262.2537,32.49,6.096776,1263841420,1263892071,50652.676,47507.84,0.0,0.0,0.0,0.0,0.375,8.0,0.0,8.201752,13.2205,4.6705,6.096776,47.669224,67.39386,29.52748,0.0,1008.05005,1010.0,1006.3,1002.08295,1003.9912,1000.4058,262.2537,16.74,6.8157883,8.28,3.096837,13.353664,16.124357,11.118829,2.0803888,0.097821675,0.11804167,0.09054167,0.11604169,22.899437,22.958,22.693419,22.953836
2010-01-19 14:00:00+00:00,0.0,22.96633,27.8205,17.3205,23.623262,30.765644,17.775885,10.538843,30.239998,342.9289,31.87,6.385178,1263927879,1263978450,50571.2,47432.164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0205,18.620499,7.1205,6.385178,52.30714,82.809746,32.70734,0.0,1008.6501,1010.7,1006.1,1002.73517,1004.77625,1000.2832,342.9289,16.589996,5.8140664,9.72,1.8,16.357203,19.494272,12.739941,2.4311693,0.094867915,0.09516666,0.09000001,0.11145833,23.264397,25.478834,23.826752,22.885077
